pid,name,site,price,broadcast_date,image_url
12853477,삼성  파워모션 진공 청소기 2100 [VC33M2105LD],lotteimall,125000,2025-09-06T18:01:00+09:00,http://cdn.image.buzzni.com/2025/04/17/5QzU5Wyv.jpg
34819156,한일 대용량 레드스텐 믹서기(NMF-3990WR),nsmall,149000,2025-09-06T18:15:00+09:00,http://cdn.image.buzzni.com/2024/11/20/a36YzdqN.jpg
20067607,[★미로투어]제주도 미식여행 3박4일 차귀도 여행,ssgshop,0,2025-09-06T18:24:00+09:00,http://cdn.image.buzzni.com/2025/09/04/r3CVBGV3.jpg
11920034,25년 햇 자연향 보조개 홍로 4kg,immall,30000,2025-09-06T18:30:00+09:00,"https://img.publichs.com/ECMCFO/share/product/34/00/92/17898499.jpg/dims/resize/Q_80,640"
5882658,"[제이에스라이프]""가을 제주와 마라도"" 제주단풍여행 3박4일 단일가189,000원",kshop,0,2025-09-06T18:32:00+09:00,http://cdn.image.buzzni.com/2025/09/04/STVMtnF5.jpg
1093346889,교원투어 튀르키예 아시아나항공 7박9일 여행 상담,gsshop,0,2025-09-06T18:35:00+09:00,http://cdn.image.buzzni.com/2025/09/05/Yjp6CCpB.jpg
2239821699,[롯데관광][대한항공][코트야드바이메리어트 리버뷰] 다낭+호이안 4/5일,hmall,686000,2025-09-06T18:35:00+09:00,http://cdn.image.buzzni.com/2025/09/05/hJ8I6wX5.jpg
66176354,"오사카 완전일주 3일, 도톤보리 숙박+교토/고베/아라시야마/오하라 일정 포함",hnsmall,0,2025-09-06T18:40:00+09:00,http://cdn.image.buzzni.com/2025/09/05/uBw0TePf.jpg
2042040134,[온플] 로보 24FW 스페인 라도마社 리버시블 후드 무스탕,cjmall,1190000,2025-09-06T18:45:00+09:00,http://cdn.image.buzzni.com/2024/12/05/5IKdUhz6.jpg
12871730,24K 순금 빼를 하트 목걸이 + 24K 순금 골드바 + 24K 순금 골드바,lotteimall,499000,2025-09-06T19:20:00+09:00,http://cdn.image.buzzni.com/2025/09/06/iUm50gXr.png
51331430,코지마 (세일)(방송에서만)2025 NEW 코지마 안마의자 데코르 CMC-A35+고급형 눈마사지기+전용러그,bshop,1980000,2025-09-06T19:21:00+09:00,http://imagecdn.skstoa.com/goods/430/51331430_g.jpg?time=20250715153029
1093155120,[2025마지막]달바 로얄 세럼 매니아세트+바이탈 크림 증정/최신상,gsshop,134900,2025-09-06T19:25:00+09:00,http://cdn.image.buzzni.com/2025/09/02/JsL7Q97L.jpg
2239387114,최대용량 대웅제약 이지듀 EGF 리프트 코어 앰플 한창서패키지,hmall,199000,2025-09-06T19:25:00+09:00,http://cdn.image.buzzni.com/2025/08/29/e3fmLhIX.jpg
20067389,"[렌탈] 세라젬 마스터 V7/V9 (※ 해피콜 시 최종 모델 결정, 9월 1st)",ssgshop,0,2025-09-06T19:25:00+09:00,http://cdn.image.buzzni.com/2025/09/03/dKb49HPn.jpg
2066650105,[블랙1종] ADIDAS GOLF 25FW 아디스트레치 남성 팬츠 블랙,cjmall,188000,2025-09-06T19:30:00+09:00,http://cdn.image.buzzni.com/2025/09/06/3ISGt1Yn.jpg
66036304,[방송에서만][골든벨라]24K 순금 고마루 볼륨 쌍반지(전고객24K 순금 골드바 2개+5캐럿테니스팔찌 2개),hnsmall,698000,2025-09-06T19:30:00+09:00,http://cdn.image.buzzni.com/2025/08/20/tH8yLcmU.jpg
